id_1,id_2
4,13645
4,20876
4,11446
4,16203
4,2830
4,20624
4,21280
4,21538
4,1443
4,187
4,5730
4,2983
4,6823
4,11102
4,17242
4,10018
4,5147
4,6427
4,14628
4,1882
4,22401
4,16128
4,12872
4,9263
4,14155
4,21631
4,6329
4,2282
4,9706
4,4738
4,3676
4,16972
4,5356
4,8514
4,14332
4,7212
4,1377
4,1997
4,7813
4,3891
4,4109
5,8288
5,9206
5,1840
5,17845
5,17411
5,21768
5,15735
5,18468
5,21755
5,14111
5,20510
5,945
5,14862
5,6946
5,12902
5,4808
5,14241
5,7106
5,18497
6,18893
6,1193
6,4000
6,12625
6,290
6,22261
6,13966
6,3300
6,22403
6,18782
6,5066
6,17038
6,3816
6,12645
6,15644
7,3305
7,12361
7,18601
11,20092
11,8106
11,12130
11,19489
17,17433
17,2417
17,21059
20,364
33,15191
33,22181
34,14650
40,20152
40,12062
40,10581
40,10497
40,19197
46,16127
46,3494
46,3963
46,2252
46,12130
46,16368
46,15553
46,365
59,5353
59,18152
60,18893
60,1193
60,11140
60,290
60,17860
60,3300
60,11611
60,4425
60,6886
60,22403
60,18782
60,5777
60,5066
60,15644
62,21172
62,3026
67,18992
67,16676
67,14628
67,791
67,18919
67,10932
71,4677
73,239
73,20617
73,1621
73,10904
73,19203
73,6050
77,9197
77,22229
77,20555
77,20888
77,14650
77,1597
77,2270
77,15684
77,7768
78,16809
82,7422
82,1142
82,3559
82,18002
82,17914
89,6455
89,11531
89,17441
89,543
93,6709
93,5227
95,1357
95,4232
95,4755
95,4188
95,13173
95,9330
95,6566
95,1181
95,13049
95,20706
95,9869
95,17804
95,16514
95,3290
95,10760
95,17620
95,22042
95,8169
95,18976
95,10953
95,19881
95,6781
95,20027
95,6556
95,12513
95,4084
95,1401
95,6395
95,9566
95,16322
95,4423
95,20636
95,20478
95,16835
95,20521
95,19602
95,3253
95,8239
95,11480
95,10579
95,22317
95,17635
95,11560
95,2922
95,8607
95,9045
95,1689
97,7076
97,13261
97,18356
97,16975
103,20990
103,1136
103,10497
103,11310
103,20152
103,16191
103,10581
103,827
103,10174
103,8630
103,2869
103,20045
103,12589
103,20820
103,12062
103,17920
106,13551
106,6764
106,8985
106,13776
106,1602
106,13053
106,2882
106,16975
106,19702
106,22173
106,5785
106,12965
106,21280
106,7867
106,19050
106,21538
106,14822
106,15385
106,187
106,12038
106,16112
106,16779
106,3838
106,6823
106,8910
106,14340
106,4419
106,5147
106,11507
106,14628
106,4211
106,7602
106,6113
106,12512
106,7503
106,9263
106,16181
106,6914
106,8712
106,14591
106,2208
106,3138
106,17065
106,2282
106,3676
106,16972
106,17740
106,8514
106,18260
106,4967
106,10978
106,9144
106,1377
106,11102
106,8395
106,20049
106,8434
106,20488
108,469
108,20316
109,3238
109,20107
109,4830
109,14575
