node_i,node_j
0,58
0,10
0,117
0,19
0,13
0,3
0,93
0,12
0,17
0,29
0,9
0,15
0,26
0,53
0,74
0,23
0,21
0,25
0,48
0,97
0,99
0,5
1,4
1,7
1,14
1,21
1,37
2,62
2,104
2,3
2,17
2,26
2,30
2,86
2,108
3,7
3,69
3,39
3,26
3,13
3,116
3,9
3,62
3,4
3,14
3,17
3,21
3,37
3,71
3,89
3,108
3,30
3,43
3,23
3,29
3,77
3,93
3,22
3,5
3,118
3,67
3,12
3,20
3,24
3,36
3,63
3,72
3,104
3,74
3,86
3,81
3,94
3,97
3,101
3,19
4,9
4,21
4,20
4,37
4,89
4,86
4,71
4,12
4,14
4,17
4,116
4,39
4,7
4,26
4,30
4,13
4,96
4,23
4,29
4,63
4,77
4,108
4,74
4,5
4,67
4,10
4,62
4,15
4,97
4,64
4,18
4,25
4,43
4,40
4,53
4,104
4,36
4,72
4,69
4,65
4,98
4,114
4,101
5,14
5,24
5,7
5,12
5,13
5,118
5,67
5,21
5,37
5,39
5,72
5,96
5,25
6,28
7,89
7,43
7,30
7,116
7,26
7,69
7,14
7,96
7,9
7,19
7,21
7,39
7,17
7,37
7,71
7,108
7,12
7,13
7,29
7,63
7,77
7,118
7,72
7,74
7,20
7,62
7,53
7,104
7,36
7,59
7,44
7,67
7,82
7,25
7,68
7,65
7,81
7,94
7,99
7,114
7,115
8,25
8,77
8,10
8,22
8,26
9,13
9,77
9,116
9,37
9,12
9,63
9,89
9,30
9,23
9,10
9,14
9,19
9,21
9,62
9,96
9,20
9,39
9,26
9,43
9,69
9,53
9,104
9,74
9,17
9,18
9,86
9,32
9,72
9,65
9,67
9,73
9,81
9,97
9,102
9,114
9,101
10,22
10,93
10,29
10,17
10,20
10,117
10,13
10,23
10,26
10,69
10,96
10,14
10,21
10,53
10,12
10,30
10,37
10,62
10,63
10,71
10,86
10,97
10,64
10,81
11,26
12,53
12,74
12,17
12,21
12,26
12,14
12,71
12,89
12,108
12,13
12,37
12,116
12,22
12,15
12,39
12,96
12,23
12,63
12,86
12,20
12,25
12,43
12,30
12,65
12,62
12,69
12,72
12,75
12,84
12,87
12,104
13,15
13,14
13,74
13,39
13,58
13,19
13,23
13,62
13,69
13,89
13,96
13,30
13,43
13,116
13,37
13,63
13,77
13,17
13,26
13,53
13,118
13,67
13,20
13,71
13,21
13,59
13,108
13,65
13,72
13,75
13,86
13,87
13,97
13,101
13,104
13,115
14,72
14,71
14,21
14,37
14,96
14,26
14,67
14,118
14,116
14,77
14,39
14,89
14,20
14,86
14,108
14,24
14,30
14,43
14,69
14,23
14,63
14,53
14,74
14,104
14,15
14,18
14,17
14,36
14,59
14,75
14,85
14,62
14,112
14,84
14,87
14,25
14,68
14,73
14,93
14,94
14,101
14,106
14,114
15,20
15,39
15,53
15,97
15,21
15,23
15,26
15,18
15,19
16,18
16,27
17,39
17,63
17,30
17,71
17,37
17,86
17,62
17,23
17,20
17,21
17,89
17,108
17,116
17,93
17,22
17,26
17,53
17,104
17,118
17,67
17,72
17,77
17,96
17,19
17,24
17,32
17,40
17,43
17,59
17,65
17,69
17,74
17,75
18,23
18,25
18,26
18,37
18,77
18,86
18,89
19,26
19,62
19,69
19,89
19,116
19,20
19,25
19,44
19,55
20,26
20,23
20,97
20,86
20,89
20,116
20,93
20,37
20,39
20,43
20,21
20,25
20,62
20,81
20,64
20,99
20,102
20,106
20,117
21,43
21,86
21,37
21,116
21,96
21,77
21,26
21,69
21,71
21,89
21,108
21,23
21,29
21,30
21,63
21,74
21,104
21,39
21,72
21,97
21,64
21,25
21,24
21,36
21,53
21,44
21,67
21,68
21,73
21,84
21,62
21,65
21,94
21,101
22,97
22,64
22,81
22,60
22,99
22,102
22,108
22,114
23,25
23,117
23,58
23,29
23,30
23,89
23,108
23,116
23,26
23,39
23,62
23,86
23,64
23,37
23,43
24,26
24,39
25,39
25,43
25,86
25,89
25,96
25,116
25,53
25,63
25,67
25,69
25,71
25,73
25,74
25,84
25,26
25,27
26,39
26,71
26,62
26,89
26,96
26,116
26,30
26,77
26,53
26,74
26,104
26,67
26,37
26,72
26,63
26,86
26,97
26,64
26,36
26,43
26,65
26,69
26,85
29,30
29,37
29,63
29,89
30,39
30,104
30,72
30,53
30,37
30,89
30,96
30,77
30,108
30,62
30,63
30,71
30,86
30,32
30,40
30,43
30,69
30,36
30,116
30,74
30,46
30,92
30,54
31,34
31,53
32,37
32,40
32,53
32,71
32,74
32,104
32,46
32,50
33,51
33,92
33,112
33,46
33,72
34,35
34,37
34,43
34,65
34,74
34,77
35,56
35,57
36,43
36,59
36,108
36,116
37,71
37,53
37,104
37,69
37,40
37,74
37,77
37,39
37,86
37,108
37,116
37,62
37,43
37,89
37,65
37,63
37,67
37,72
37,82
37,75
37,96
37,46
37,112
37,92
37,84
37,68
37,73
37,93
37,94
37,99
38,107
39,116
39,53
39,72
39,43
39,63
39,59
39,62
39,89
39,96
39,71
39,86
39,69
39,74
39,118
39,67
39,77
39,92
39,108
39,97
39,102
39,104
39,114
39,94
40,43
40,53
40,71
40,72
40,77
40,96
40,104
41,76
42,44
42,43
42,58
43,116
43,89
43,44
43,108
43,69
43,96
43,86
43,53
43,71
43,74
43,77
43,63
43,72
43,46
43,47
43,65
43,62
43,93
43,94
43,99
43,104
43,102
43,114
43,97
43,101
44,108
44,116
44,112
44,72
44,55
45,56
46,72
46,112
46,62
46,69
46,71
46,86
46,96
46,108
46,50
46,58
47,55
47,50
48,58
48,52
48,117
49,57
49,56
52,58
53,65
53,74
53,116
53,86
53,72
53,69
53,71
53,77
53,96
53,104
53,59
53,63
53,108
53,89
53,67
53,75
53,68
53,84
56,57
56,59
58,117
58,97
58,99
59,72
59,116
60,64
60,97
61,65
61,62
61,86
61,89
61,70
61,64
61,87
62,65
62,71
62,104
62,89
62,86
62,69
62,74
62,96
62,116
62,63
62,99
62,72
62,77
62,85
62,112
62,92
62,75
62,87
62,108
63,77
63,65
63,116
63,86
63,108
63,71
63,74
63,89
63,67
63,82
63,69
63,73
63,84
63,72
63,104
63,81
63,101
63,114
63,115
64,97
64,89
64,81
64,106
64,108
64,69
64,77
65,71
65,86
65,74
65,77
65,116
65,104
65,69
65,72
65,89
65,96
66,80
66,111
67,77
67,118
67,69
67,74
67,96
67,116
67,71
67,86
67,89
67,75
67,87
67,84
68,77
68,89
68,116
68,82
69,86
69,71
69,82
69,77
69,72
69,99
69,89
69,96
69,116
69,104
69,74
69,118
69,75
69,85
69,73
69,84
69,81
69,117
69,70
70,83
70,73
71,85
71,89
71,72
71,86
71,108
71,116
71,77
71,74
71,104
71,92
71,84
71,93
71,94
71,83
71,88
72,92
72,74
72,108
72,86
72,96
72,104
72,116
72,112
72,89
72,77
72,85
72,75
72,84
72,87
72,93
72,94
72,99
72,97
72,98
73,83
73,86
73,89
74,84
74,77
74,108
74,87
74,118
74,96
74,116
74,104
74,99
74,89
74,112
74,97
74,98
74,102
74,114
75,96
75,77
75,87
75,83
77,84
77,116
77,89
77,86
77,96
77,108
77,118
77,85
77,104
77,114
77,79
78,86
78,83
78,88
80,111
81,97
81,89
81,85
81,86
81,116
81,102
81,117
82,86
82,89
83,87
84,87
84,108
84,86
84,89
84,116
85,96
86,89
86,104
86,108
86,116
86,99
86,96
89,116
89,96
89,108
89,104
89,97
89,101
90,103
90,100
91,95
91,117
91,119
92,110
92,112
92,99
93,96
93,106
93,114
93,94
93,99
93,104
93,97
93,103
93,118
93,98
94,116
94,99
94,104
94,114
94,115
95,114
95,106
95,117
95,97
95,102
95,108
95,118
95,116
95,103
96,99
96,104
96,116
96,112
96,108
96,106
96,101
96,110
96,117
96,97
96,98
97,117
97,102
97,108
97,114
97,113
97,99
97,103
97,98
97,104
97,118
97,115
97,105
98,116
98,101
98,108
98,119
99,110
99,117
99,106
99,108
99,102
99,116
99,118
99,103
101,116
101,114
101,115
101,102
101,117
102,113
102,114
102,108
