u,v,sign
0,8,1
0,9,1
0,11,1
0,23,-1
0,28,1
0,31,1
1,2,1
1,3,1
1,6,-1
1,7,-1
1,9,-1
1,10,1
1,20,1
1,21,-1
1,22,1
1,25,-1
1,31,-1
1,32,1
2,28,-1
2,32,1
2,34,1
3,9,-1
3,11,-1
3,18,1
3,19,1
3,22,1
3,24,1
3,25,-1
3,27,-1
3,28,-1
4,5,-1
4,9,1
4,12,-1
4,20,-1
4,25,1
5,12,1
5,16,-1
5,17,1
5,22,1
5,26,1
5,28,-1
5,31,-1
6,7,1
6,13,-1
6,17,-1
6,19,-1
6,20,-1
6,23,-1
6,29,1
7,9,1
7,10,-1
7,12,-1
7,20,-1
7,31,1
7,32,-1
7,33,-1
7,34,-1
8,10,-1
8,11,1
8,19,-1
8,34,-1
9,20,-1
9,24,-1
10,20,1
10,24,1
10,28,-1
10,32,1
11,12,-1
11,21,1
11,25,1
11,28,1
12,14,1
12,15,1
12,23,1
12,27,-1
13,20,1
13,27,-1
13,29,-1
13,30,-1
13,31,-1
13,32,1
14,17,1
14,18,1
14,25,-1
14,29,-1
14,30,-1
14,34,1
15,19,1
15,25,-1
15,26,1
15,33,-1
16,17,-1
16,27,1
16,28,1
17,27,-1
18,24,1
19,21,-1
19,24,1
20,24,1
20,27,-1
20,29,-1
21,24,-1
21,25,1
21,27,1
21,28,1
21,29,1
21,32,-1
22,24,1
22,25,-1
22,32,1
22,34,1
23,26,1
23,28,-1
23,29,-1
23,30,-1
23,32,1
24,26,1
24,29,-1
24,32,1
25,28,1
25,34,-1
26,30,-1
27,28,1
27,32,-1
28,29,1
28,32,-1
29,30,1
29,32,-1
29,33,-1
